Date;Internal_Number;ISIN;SEDOL;RIC;Instrument_Name;Country;Segment;Size
6/18/2012;ID00QL;ID1000072309;6016614;SMCB.JK;HOLCIM INDONESIA;ID;Emerging;SMALL
6/18/2012;TW08KH;TW0009907006;6897864;9907.TW;Ton Yi Ind;TW;Emerging;SMALL
6/18/2012;TW1CPR;TW0004128004;B050S66;4128.TWO;MICROBIO;TW;Emerging;SMALL
6/18/2012;ID102Y;ID1000108905;B19HDX2;LPKR.JK;LIPPO KARAWACI;ID;Emerging;SMALL
6/18/2012;TW01I8;TW0001513000;6194811;1513.TW;Chung-Hsin E M;TW;Emerging;SMALL
6/18/2012;TW016W;TW0001312007;6381237;1312.TW;GRAND PETROCHM;TW;Emerging;SMALL
6/18/2012;ZA118J;ZAE000003273;6442338;HDCJ.J;HUDACO;ZA;Emerging;SMALL
6/18/2012;CL02JI;CL0000002544;B284N31;SCV.SN;Socovesa;CL;Emerging;SMALL
6/18/2012;BR3049;BRGRNDACNOR3;B03L0B0;GRND3.SA;GRENDENE ON;BR;Emerging;SMALL
6/18/2012;TW05A4;TW0002856002;6562861;2856.TW;Masterlink Sec;TW;Emerging;SMALL
6/18/2012;EV042;RU0006914488;7425305;SVAV.MM;SOLLERS;RU;Emerging;SMALL
6/18/2012;KR18L5;KR7002990000;6497684;002990.KS;KUMHO INDUSTRIAL;KR;Emerging;SMALL
6/18/2012;IN04DM;INE017A01032;B1GKL41;GESC.NS;Great Eastern;IN;Emerging;SMALL
6/18/2012;ID202Z;ID1000106701;6048156;AKRA.JK;AKR CORPORINDO;ID;Emerging;SMALL
6/18/2012;461242;TRANETAS91H6;B03MWK6;NETAS.IS;NORTEL NETAS;TR;Emerging;SMALL
6/18/2012;KR00V6;KR7000060004;B0YCFG2;000060.KS;Meritz Fire Ins;KR;Emerging;SMALL
6/18/2012;KR065M;KR7069260008;6548991;069260.KS;Huchems Chem;KR;Emerging;SMALL
6/18/2012;MX00M5;MX01LA010006;B3B1C73;LABB.MX;Genomma Lab Internacional SA d;MX;Emerging;SMALL
6/18/2012;TW07IE;TW0005531008;6355287;5531.TW;Shining Bldg;TW;Emerging;SMALL
6/18/2012;CN0Q4T;CNE1000004N5;B0SY092;3378.HK;XIAMEN INTL.PORT 'H';CN;Emerging;SMALL
6/18/2012;487454;CS0008418869;4874546;TABKsp.PR;PHILIP MORRIS;CZ;Emerging;SMALL
6/18/2012;ID20A7;ID1000115306;6291767;CTRA.JK;CIPUTRA DEVELOPMENT;ID;Emerging;SMALL
6/18/2012;IN05JT;INE053A01029;B1FRT61;IHTL.NS;The Indian Hotel;IN;Emerging;SMALL
6/18/2012;TW010Q;TW0001210003;6384344;1210.TW;Great Wall Ent;TW;Emerging;SMALL
6/18/2012;ZA21CO;ZAE000005724;6687935;PWKJ.J;PICK N PAY HOLDINGS;ZA;Emerging;SMALL
6/18/2012;ZA203E;ZAE000017745;6149479;DTCJ.J;DATATEC;ZA;Emerging;SMALL
6/18/2012;BR044A;BRMRFGACNOR0;B1YWHR4;MRFG3.SA;Marfrig Alimento;BR;Emerging;SMALL
6/18/2012;PL10CN;PLKRK0000010;B4PTLY0;KRU.WA;KRUK;PL;Emerging;SMALL
6/18/2012;MY00RB;MYL3786OO000;6556682;MASM.KL;MALAYSIAN AIRLINE SY.;MY;Emerging;SMALL
6/18/2012;EG00C6;EGS30901C010;B4RJHG2;JUFO.CA;JUHAYNA FOOD INDS.;EG;Emerging;SMALL
6/18/2012;TW012S;TW0001229003;6515144;1229.TW;Lien Hwa Ind;TW;Emerging;SMALL
6/18/2012;CN0OG3;CNE1000004F1;6579010;0598.HK;Sinotrans Ltd;CN;Emerging;SMALL
6/18/2012;MY245V;MYL3034OO005;6297743;HAPS.KL;HAP SENG CONSOLIDATED;MY;Emerging;SMALL
6/18/2012;KR02Q3;KR7005180005;6098236;005180.KS;BINGGRAE;KR;Emerging;SMALL
6/18/2012;ZA10X7;ZAE000083846;6840084;ILVJ.J;ILLOVO SUGAR;ZA;Emerging;SMALL
6/18/2012;ID20XU;ID1000116908;B4MW045;TBIG.JK;TOWER BERSAMA INFR.;ID;Emerging;SMALL
6/18/2012;663094;HK0257001336;6630940;0257.HK;CHINA EVERBRIGHT INTL.;CN;Emerging;SMALL
6/18/2012;TW1EVZ;TW0006147002;6432801;6147.TWO;CHIPBOND TECH.;TW;Emerging;SMALL
