Country,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24,2024-09-23
BR,63,65,71,72,76,73,75,74,70,74,74,68,74,73,78,74,68,71,73,74,74,69,64
MY,40,42,50,44,47,58,54,53,41,48,47,51,60,66,72,74,72,71,77,80,82,77,84
ID,38,40,44,38,33,40,36,36,34,31,30,34,38,45,51,49,54,53,58,56,60,52,52
CN,31,1,47,199,227,236,274,251,120,57,17,134,58,140,29,170,35,19,170,176,176,57,159
CO,4,4,2,2,2,4,3,3,3,5,3,3,5,4,3,2,2,2,2,2,3,2,2
MX,25,25,22,21,22,21,21,23,21,22,17,22,21,20,21,20,21,21,20,20,21,20,20
TW,179,192,200,204,220,232,230,234,207,206,215,234,253,255,261,265,266,275,285,281,302,298,295
RU,21,22,21,20,16,19,17,17,11,13,14,17,,,,,,,,,,,
KR,232,229,206,211,218,233,243,262,230,238,265,282,293,306,332,331,319,333,352,372,364,354,404
CL,11,10,13,12,13,19,17,17,13,14,13,18,15,14,16,16,15,15,14,16,16,15,16
TH,58,71,56,56,66,64,58,57,48,63,60,67,71,78,99,98,105,113,104,104,97,95,93
IN,147,165,148,153,163,156,175,181,176,175,195,211,254,268,332,342,341,342,386,390,444,429,437
PK,6,7,6,7,8,9,9,9,8,9,8,9,9,9,,,,,,,,,
EG,9,8,8,8,8,10,10,10,6,5,6,6,7,7,6,8,7,8,9,15,14,8,7
TR,14,15,15,18,21,27,25,24,19,23,23,26,21,21,23,64,64,66,79,95,90,87,85
CZ,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2
HU,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2
PH,16,14,15,15,14,21,20,21,20,19,20,19,17,23,20,20,18,20,21,22,19,19,19
PL,15,15,15,16,16,19,26,33,25,23,21,22,20,22,31,26,27,26,29,27,29,31,27
GR,11,11,13,13,11,15,14,14,8,8,12,12,10,10,13,9,10,11,12,14,16,16,14
ZA,46,47,48,46,44,46,40,40,39,40,36,38,38,41,41,40,42,49,45,43,44,40,40
KW,,,,,,,,,,,,,,,,17,20,21,23,24,26,26,27
SA,,,,,,,,,,,,,,,,,,1,7,17,24,33,45
QA,,,,,,,,,,,,,,,,,,,,,3,6,9
AE,,,,,,,,,,,,,,,,,,,,,1,5,6
